['September 22', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 27', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 11', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 14', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 6', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 7', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 3', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 5', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 17', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 10', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 12', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 13', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 15', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 18', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 19', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 20', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 26', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 24', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 25', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 29', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 8', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['September 9', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1905', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1890', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1962', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1720s', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1847', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1537', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['862', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1723', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1530s', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1100', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1101', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['1205', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['900', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Aug', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 30', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Sextilis', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Germanic calendar', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Jaipurhat District', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 1999', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Princess Holiday', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Augest', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Magaluf', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 26', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Hazuki', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Belastok Region', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Auggust', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2007', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Czech months', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2009', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2008', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['08', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2010', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2014', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2013', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2012', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2011', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 31', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 20', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['21st century', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Slovene months', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Gregorian calendar', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Shona calendar', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 1962', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Ogos', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Georgian calendar', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 1965', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 12', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 15', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 30', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 22', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 6', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 9', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 13', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 26', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 8', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
